Date,USDCNY
2022-07-31,6.739
2022-08-31,6.8905
2022-09-30,7.0931
2022-10-31,7.2985
2022-11-30,7.1419
2022-12-31,6.9514
2023-01-31,6.7571
2023-02-28,6.9392
2023-03-31,6.8713
2023-04-30,6.9284
2023-05-31,7.1065
2023-06-30,7.262
2023-07-31,7.246499999999999
